University,Status,Target Major,Term,Q,V,AWA,GRE,TOEFL/IELTS,UG College ,UG Major,CGPA,Papers,Work EX

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,158,147,3.5,305,0,"Fr. Conceicao Rodrigues College Of Engineering, Bandra",Information Technology,7,0,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,162,146,3.5,308,0,Maharaja Agrasen Institute of Technology,Information Technology,71.42,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,158,143,0,301,6,"KC College Of Engineering And Management Studies And Research, Kopri",EEE,58,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,156,145,3,301,6.5,Anna University,Computer Science,7,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,167,140,3,307,6.5,N/A,N/A,N/A,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,168,140,3,308,6.5,Keshav Memorial Institute of Technology (KMIT),Computer Science,68,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,161,148,3,309,7,kits,Information Technology,61,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,167,156,3,323,7,Maharaja Sayajirao University,Computer Science,73,0,7 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,149,0,316,7,SRM University,Computer Science,9.4,N/A,6 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,162,158,3.5,320,7.5,SRM University,Computer Science,6.7,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,167,145,2.5,312,7.5,University of Mumbai,Information Technology,8.39,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,163,145,N/A,308,7.5,Dharmsinh Desai University,Computer Science,7.75,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Spring 2018,161,159,3,320,7.5,RV College of Engineering,Computer Science,8.3,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,155,157,4,312,8,"SCET, Surat",Computer Science,8.4,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,159,155,4.5,314,8,"Bharati Vidyapeeth College Of Engineering,PUNE",Information Technology,56.49,N/A,25 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Spring 2018,160,145,3,305,8,VNR Vignana Jyothi Institute of Engineering and Technology,Computer Science,8,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,161,156,4.5,317,8,G L Bajaj Institute of Technology and Management,Computer Science,76.1,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,158,150,3,308,81,"Madras Institute of Technology (MIT), Chromepet",ECE,8.48,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,164,145,3,309,82,K. J. Somaiya College of Engineering,Computer Science,65,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,163,141,3,304,85,Chulalongkorn University,Computer Science,8,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,158,140,3,298,85,"St. Francis Institute Of Technology (SFIT), Borivali",Information Technology,56.46,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,167,148,3,315,88,"maharaja agrasen institute of technology, new delhi",Computer Science,73,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,153,143,3.5,296,89,Mahatma Gandhi Mission College of Engineering And Technology,Computer Science,58,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2017,161,144,3,305,89,"P.E.S. Institute of Technology, Bangalore",Computer Science,70.2,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,157,149,3,306,90,VNR Vignana Jyothi Institute of Engineering and Technology,Computer Science,77,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2013,155,145,3,300,90,Vemana Institute Of Technology,Computer Science,74.55,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,166,145,3,311,90,Maharaja Agrasen Institute of Technology,ECE,66,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,157,149,3,306,91,Thadomal Shahani Engineering College,Computer Science,63.47,N/A,24 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2019,153,149,3,302,91,Nirma University,Information Technology,6.4,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,161,142,3,303,91,Sikkim Manipal Institute of Technology,Computer Science,9.53,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,154,142,3,296,92,Shri Sad Vidya Mandal Institute Of Technology,Information Technology,72.5,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,159,149,4,308,92,Thadomal Shahani Engineering College,Information Technology,9,N/A,0 Mo

