IC,Label
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,3
58,1
59,0
60,0
61,3
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,3
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,3
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,3
90,0
91,1
92,3
93,0
94,0
95,0
96,3
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,0
